An	Durata	Vizionari	 nr_viz  Titlu	Categorie	Premii					
1972	15	5000	My Country Right or Wrong	War	Nu					
1942	18	6000	"Battle of Midway, The"	War	Nu					
1970	26	4500	Bloopers from Star Trek	Comedy	Nu					
1956	27	2000	"Case of the Mukkinese Battle Horn, The"	Comedy	Nu					
1991	28	3500	Kids & Pesticides	Drama	Nu					
1993	30	2000	"Alfred Hitchcock Presents, Sorcerer's Apprentice"	Mystery	Nu					
1954	30	3000	Bank on the Stars	Drama	Nu					
1989	30	3500	Matt Talbot	Drama	Nu					
1954	40	4000	Inauguration of the Pleasure Dome	Short	Nu					
1991	40	4000	"National Enquirer, The Untold Story"	Music	Nu					
1990	45	1500	This Is Horror	Horror	Nu					
1986	49	1500	Jay Leno: The American Dream	Comedy	Nu					
1983	50	5000	"Father Murphy, A Horse from Heaven"	Comedy	Nu					
1987	50	4000	"Madonna Live, The Virgin Tour"	Music	Nu					
1990	50	1000	"Industrial Symphony, The Dream of the Broken-Hearted"	Music	Nu					
1964	51	5000	"Outer Limits, The"	Science Fiction	Nu					
1992	52	6000	"Persuaders, The Overture, The"	Mystery	Nu					
1986	52	4500	Howie Mandel's North American Watusi Tour	Comedy	Nu					
1991	52	4500	"Lawless Frontier, The"	Western	Nu					
1991	52	6000	Riders of Destiny	Western	Nu					
1993	53	1000	"Big Bands, The"	Music	Nu					
1992	53	1000	"Gotta Dance, Gotta Sing"	Music	Nu					
1947	53	4000	Law of the Lash	Western	Nu					
1992	53	5000	Return of the Lash	Action	Nu					
1991	53	5000	Randy Rides Alone	Western	Nu					
1935	54	5000	"Desert Trail, The"	Western	Nu					
1992	54	1500	Border Feud	Action	Nu					
1934	54	6000	Hell Town	Western	Nu					
1934	54	3500	Lucky Texan	Western	Nu					
1991	54	2500	Neath the Arizona Skies	Western	Nu					
1985	55	3500	Gonzo Presents Muppet Weird Stuff	Comedy	Nu					
1985	55	1500	Rowlf's Rhapsodies with the Muppets	Comedy	Nu					
1989	55	3500	"Will Rogers, Look Back in Laughter"	Comedy	Nu					
1938	55	1000	Overland Stage Raiders	Western	Nu					
1938	55	1000	Pals of the Saddle	Western	Nu					
1939	55	5500	Frontier Horizon	Western	Nu					
1990	56	3500	"Best of Candid Camera, The"	Comedy	Nu					
1947	56	1500	Hawk of Powder River	Western	Nu					
1941	56	1500	Man from Montana	Western	Nu					
1940	56	4500	Riders of Pasco Basin	Western	Nu					
1985	56	3000	Fozzie's Muppet Scrapbook	Comedy	Nu					
1947	56	5500	West to Glory	Western	Nu					
1992	56	2500	"Dawn Rider, The"	Western	Nu					
1991	56	2500	King of the Pecos	Western	Nu					
1991	56	1000	"Lawless Nineties, The"	Western	Nu					
1923	57	2500	Desert Rider	Western	Nu					
1941	57	5500	Bury Me Not on the Lone Prairie	Western	Nu					
1940	57	5500	Law & Order	Western	Nu					
1955	57	2000	Jack Benny Show	Comedy	Nu					
1949	58	2500	Crashing Thru	Western	Nu					
